key,en
Shutter down. Nobody's buying anything now.,Shutter down. Nobody's buying anything now.
Shutter up.,Shutter up.
Shutter's gone. Something lands on the floor.,Shutter's gone. Something lands on the floor.
"Single account, opened %s 2026. Salary credits only.","Single account, opened %s 2026. Salary credits only."
"Sister listed at the same address, bills in her name.","Sister listed at the same address, bills in her name."
"Site radio. I'm night security on the Corn Exchange — I'm on it till six, listen.","Site radio. I'm night security on the Corn Exchange — I'm on it till six, listen."
Size,Size
"Small family firm. Thin, but real.","Small family firm. Thin, but real."
Small flat key on the ring. Barrel type. Opens nothing domestic.,Small flat key on the ring. Barrel type. Opens nothing domestic.
"Some of the people who come to the window are police, and they are here to buy from you once.","Some of the people who come to the window are police, and they are here to buy from you once."
Somebody walked in on a body on your floor.,Somebody walked in on a body on your floor.
"Somebody's stash, under a board. %d.","Somebody's stash, under a board. %d."
Someone said you keep something under there.,Someone said you keep something under there.
Someone walked away tonight who shouldn't have.,Someone walked away tonight who shouldn't have.
Something in the coat seam answering a ping. It isn't a card.,Something in the coat seam answering a ping. It isn't a card.
Something interesting up there?,Something interesting up there?
Something is down here with you.,Something is down here with you.
Something very small in the left ear. It is receiving.,Something very small in the left ear. It is receiving.
Sorry — miles away. Twenty of the blue and whatever that is behind you.,Sorry — miles away. Twenty of the blue and whatever that is behind you.
Spotless,Spotless
"Stands square-on to you, both hands free, back to the wall.","Stands square-on to you, both hands free, back to the wall."
Step back,Step back
Still Open,Still Open
Still on the floor at five,Still on the floor at five
"Still open, then.","Still open, then."
Street Camera,Street Camera
Student,Student
Subtitles,Subtitles
Survive a raid without going down the manhole.,Survive a raid without going down the manhole.
Survive five nights.,Survive five nights.
Survive ten nights.,Survive ten nights.
Survive your first shift and make the rent.,Survive your first shift and make the rent.
Sweep clean. Nothing on them.,Sweep clean. Nothing on them.
Sweep returned nothing carried.,Sweep returned nothing carried.
Sweep with scanner,Sweep with scanner
Swept,Swept
Synced with Steam.,Synced with Steam.
T — torch,T — torch
TAB — this pad,TAB — this pad
TELEPHONE,TELEPHONE
THE LIGHTS GO OUT,THE LIGHTS GO OUT
THEY'RE COMING BACK,THEY'RE COMING BACK
TONIGHT,TONIGHT
Take the coat off a second.,Take the coat off a second.
Take your time.,Take your time.
"Takes the first one through, whichever way that is.","Takes the first one through, whichever way that is."
Takings tonight: %d. Rent: %d.,Takings tonight: %d. Rent: %d.
Taxi driver,Taxi driver
Tell them to move on,Tell them to move on
Tell them you don't do that here,Tell them you don't do that here
Tenancy predates the department's lease by nine years.,Tenancy predates the department's lease by nine years.
That door doesn't go anywhere you need.,That door doesn't go anywhere you need.
That is a tell — something that needs explaining. Talk to them and it unlocks a question about it.,That is a tell — something that needs explaining. Talk to them and it unlocks a question about it.
That key is already doing something else.,That key is already doing something else.
That number's brand new.,That number's brand new.
That plate's a city motor.,That plate's a city motor.
That run is empty. [Q] while looking at a shelf restocks it from the back.,That run is empty. [Q] while looking at a shelf restocks it from the back.
That your car out front?,That your car out front?
That's a lot of gloves for a Tuesday.,That's a lot of gloves for a Tuesday.
That's everything. Thanks.,That's everything. Thanks.
That's my phone. Everyone's got a phone.,That's my phone. Everyone's got a phone.
That's what came out of the machine.,That's what came out of the machine.
That's what it's called. That's what everyone calls it.,That's what it's called. That's what everyone calls it.
That's — no. I'm not answering that.,That's — no. I'm not answering that.
The %s. Why?,The %s. Why?
The Shutter Held,The Shutter Held
The care home. My mother's in Alder House and that's their front desk — she can't hold a phone.,The care home. My mother's in Alder House and that's their front desk — she can't hold a phone.
The one on the door is moving up.,The one on the door is moving up.
The person at the window,The person at the window
The photograph on file is four years old. They have not aged four years.,The photograph on file is four years old. They have not aged four years.
The price is the price. I'm not going to argue with you about it.,The price is the price. I'm not going to argue with you about it.
The radio behind you stops playing music and starts playing nothing.,The radio behind you stops playing music and starts playing nothing.
The shutter will hold for a few seconds. Not many.,The shutter will hold for a few seconds. Not many.
The trap takes the first one through.,The trap takes the first one through.
"The tunnels get worse every time you use them, and they never get better.","The tunnels get worse every time you use them, and they never get better."
Theft reported to the tram operator. Replacement fee logged.,Theft reported to the tram operator. Replacement fee logged.
"Theft, retail","Theft, retail"
Their shopping is on the counter. [E] on each item rings it up; the till will not take payment until they all are.,Their shopping is on the counter. [E] on each item rings it up; the till will not take payment until they all are.
Their telephone number was issued this month.,Their telephone number was issued this month.
There are %d of them forming up at the end of the street.,There are %d of them forming up at the end of the street.
"There is a last bus, and it is in four minutes.","There is a last bus, and it is in four minutes."
There is a light on behind that door. Fair.,There is a light on behind that door. Fair.
"There is a security tag in the seam, unremoved.","There is a security tag in the seam, unremoved."
"There is an assault on file, at the Kestrel, last winter.","There is an assault on file, at the Kestrel, last winter."
There is no sign next to the camera.,There is no sign next to the camera.
There is one of me and one of you. How is this hard?,There is one of me and one of you. How is this hard?
There's nothing in my coat. Are you going to serve me or not?,There's nothing in my coat. Are you going to serve me or not?
"There's nothing in that pocket. Just ring it up, will you?","There's nothing in that pocket. Just ring it up, will you?"
There's nothing on you from before this year.,There's nothing on you from before this year.
These may each have an ordinary explanation. Ask.,These may each have an ordinary explanation. Ask.
They are done answering questions.,They are done answering questions.
They came through the door and you were still holding a bag of crisps.,They came through the door and you were still holding a bag of crisps.
They came to the counter with nothing. Fill the shelves.,They came to the counter with nothing. Fill the shelves.
They do smell faintly of a meat counter.,They do smell faintly of a meat counter.
They expire. You renew them. That's how it works.,They expire. You renew them. That's how it works.
They left their shopping on the counter.,They left their shopping on the counter.
They put it straight in their pocket. They didn't even look at it.,They put it straight in their pocket. They didn't even look at it.
"They want what is under the counter. Sweep them, pull their file on the terminal, and talk to them before you decide.","They want what is under the counter. Sweep them, pull their file on the terminal, and talk to them before you decide."
They're already going.,They're already going.
They're asking. Decide.,They're asking. Decide.
They're on the floor. Anyone who walks in will see that.,They're on the floor. Anyone who walks in will see that.
They're on the shutter.,They're on the shutter.
They're still shopping.,They're still shopping.
They've had enough of the questions.,They've had enough of the questions.
This card's three weeks old.,This card's three weeks old.
This does not add up.,This does not add up.
This is a police officer.,This is a police officer.
This picture doesn't look like you.,This picture doesn't look like you.
"Three of the four are logged as replacements, with fees paid.","Three of the four are logged as replacements, with fees paid."
Tidy,Tidy
Tip: %d,Tip: %d
Tips and finds,Tips and finds
Tips and loose cash,Tips and loose cash
Took the first price without a flicker. Nobody does that.,Took the first price without a flicker. Nobody does that.
Torch,Torch
Torch off.,Torch off.
Torch on.,Torch on.
"Trained stance, and no reason on file to have one.","Trained stance, and no reason on file to have one."
Trespass,Trespass
Tunnel Rat,Tunnel Rat
"Turned it on. It is a site channel, and it is dull.","Turned it on. It is a site channel, and it is dull."
Two handsets. One of them isn't on any network.,Two handsets. One of them isn't on any network.
Two of them. One's holding the door.,Two of them. One's holding the door.
Two phones?,Two phones?
UNDER THE COUNTER,UNDER THE COUNTER
UTILITIES,UTILITIES
Under it,Under it
Under the counter,Under the counter
"Under the counter. That's the phrase, isn't it?","Under the counter. That's the phrase, isn't it?"
Unemployed,Unemployed
Unlimited,Unlimited
Unpaid fines,Unpaid fines
"Urine sample pots. I'm on a programme. Twice a week I have to go and fill one. It's humiliating, thanks for asking.","Urine sample pots. I'm on a programme. Twice a week I have to go and fill one. It's humiliating, thanks for asking."
Use / scan / talk,Use / scan / talk
VEHICLE,VEHICLE
"Vertex jitter and texture warping. Set to zero for stable, modern rendering.","Vertex jitter and texture warping. Set to zero for stable, modern rendering."
Vertical sync,Vertical sync
"Victim of assault, licensed premises (2025)","Victim of assault, licensed premises (2025)"
Volume,Volume
WHAT YOU HAVE,WHAT YOU HAVE
"Wage payment on file, Friday, matching amount.","Wage payment on file, Friday, matching amount."
Waiting for the rain to give up. I'll stand outside if I'm in the way.,Waiting for the rain to give up. I'll stand outside if I'm in the way.
Wallet is all one denomination. Nothing smaller anywhere on them.,Wallet is all one denomination. Nothing smaller anywhere on them.
Wanted you to name it first. Nobody does that by accident.,Wanted you to name it first. Nobody does that by accident.
Warehouse picker,Warehouse picker
Warns you a few seconds before the breach.,Warns you a few seconds before the breach.
Was there something else?,Was there something else?
We're a contractor. We work on-site. There's nothing to have an address for.,We're a contractor. We work on-site. There's nothing to have an address for.
Wearing armour and would not say so.,Wearing armour and would not say so.
Welder,Welder
What are you writing down?,What are you writing down?
What is it you do?,What is it you do?
What is that thing?,What is that thing?
What year were you born?,What year were you born?
What's a number for you?,What's a number for you?
What's in the tubes?,What's in the tubes?
What's in your ear?,What's in your ear?
What's the aerial on your belt?,What's the aerial on your belt?
What's the box under your shirt?,What's the box under your shirt?
What's the little flat key for?,What's the little flat key for?
What's the registration?,What's the registration?
Where were you for seven months last year?,Where were you for seven months last year?
Where'd the cash come from?,Where'd the cash come from?
Where'd you go to school?,Where'd you go to school?
"Whereabouts, then?","Whereabouts, then?"
"Who is it you work for, exactly?","Who is it you work for, exactly?"
Who's at the house with you?,Who's at the house with you?
Who's the number down as your next of kin?,Who's the number down as your next of kin?
Why are you asking me that? Nobody else asks me that.,Why are you asking me that? Nobody else asks me that.
Why do you keep saying it back?,Why do you keep saying it back?
Window,Window
Windowed,Windowed
"Work gives me one. I'm not putting the depot's number on my own line, am I?","Work gives me one. I'm not putting the depot's number on my own line, am I?"
Work out who they are before you decide what to sell them.,Work out who they are before you decide what to sell them.
Would not say where a bank-strapped bundle came from.,Would not say where a bank-strapped bundle came from.
Wouldn't take a bag. Wanted it handed over loose.,Wouldn't take a bag. Wanted it handed over loose.
X — change what's in your hands,X — change what's in your hands
"YOU ARE THE
MASTER OF MASTER
%s","YOU ARE THE
MASTER OF MASTER
%s"
YOU ARE THE MASTER OF MASTER %s,YOU ARE THE MASTER OF MASTER %s
"Yeah. Licensed, it's on the card. I unload trucks on Vane Street till four in the morning — you'd carry too.","Yeah. Licensed, it's on the card. I unload trucks on Vane Street till four in the morning — you'd carry too."
"You also keep something under the counter, which is the only reason the rent gets paid.","You also keep something under the counter, which is the only reason the rent gets paid."
"You are out of body bags. The supplier sells them, and you cannot bag anybody without one.","You are out of body bags. The supplier sells them, and you cannot bag anybody without one."
"You are short on the rent. He will want it tomorrow, with interest.","You are short on the rent. He will want it tomorrow, with interest."
"You can put your bag down, you know.","You can put your bag down, you know."
You closed up with %d of them still on the floor.,You closed up with %d of them still on the floor.
You didn't even ask what it costs.,You didn't even ask what it costs.
"You do the other business, don't you?","You do the other business, don't you?"
"You don't mind, do you.","You don't mind, do you."
You don't want a bag?,You don't want a bag?
"You get the cover back over your head. Above you, they are taking the place apart.","You get the cover back over your head. Above you, they are taking the place apart."
You going to tell me what you want?,You going to tell me what you want?
You had a good look round on the way in.,You had a good look round on the way in.
"You have a scanner, a registry terminal, and however many questions they will stand for.","You have a scanner, a registry terminal, and however many questions they will stand for."
"You have enough to call the supplier. Weapons, fittings for the doors, and bags.","You have enough to call the supplier. Weapons, fittings for the doors, and bags."
You holding any of the beige?,You holding any of the beige?
You keep the shelves full and the lights on.,You keep the shelves full and the lights on.
You knew the price before I said it.,You knew the price before I said it.
You lasted %d night.,You lasted %d night.
You lasted %d nights.,You lasted %d nights.
You live local?,You live local?
You sold to an officer.,You sold to an officer.
You threw out a regular. Word gets round.,You threw out a regular. Word gets round.
You were quick with that.,You were quick with that.
You're a lifesaver.,You're a lifesaver.
You're carrying. What for?,You're carrying. What for?
You're out of %s.,You're out of %s.
You're the only light on.,You're the only light on.
You're up late for that coat.,You're up late for that coat.
You're wearing a vest.,You're wearing a vest.
You've already got one.,You've already got one.
"You've got it pointed at the till and not the door. Anyone comes in here, you'll have a lovely picture of your own hands.","You've got it pointed at the till and not the door. Anyone comes in here, you'll have a lovely picture of your own hands."
You've got nothing. I'll try the garage.,You've got nothing. I'll try the garage.
You've had a lot of licences.,You've had a lot of licences.
You've not been out in this long.,You've not been out in this long.
You've nothing smaller at all?,You've nothing smaller at all?
Your firm doesn't seem to have an address.,Your firm doesn't seem to have an address.
Your name,Your name
Your name on the street,Your name on the street
[1-9] choose   ·   [ESC] step back,[1-9] choose   ·   [ESC] step back
[D-pad] move   ·   [A] choose   ·   [B] step back,[D-pad] move   ·   [A] choose   ·   [B] step back
[ESC] back to the counter,[ESC] back to the counter
[ESC] hang up,[ESC] hang up
[E] %s — no bags left,[E] %s — no bags left
[E] Back stock,[E] Back stock
[E] Bag them (%d left),[E] Bag them (%d left)
[E] Call the supplier,[E] Call the supplier
[E] Pick them up,[E] Pick them up
[E] Pick up cash,[E] Pick up cash
[E] Pick up the scanner,[E] Pick up the scanner
[E] Put the scanner down,[E] Put the scanner down
[E] Shutter,[E] Shutter
[E] Take %s  (%d left)   [Q] restock,[E] Take %s  (%d left)   [Q] restock
[E] Talk,[E] Talk
"[E] Talk  (%s, %d in line)","[E] Talk  (%s, %d in line)"
[E] Terminal,[E] Terminal
[E] Till — %d,[E] Till — %d
[E] Under the counter  (%d),[E] Under the counter  (%d)
[E] carry on from night %d,[E] carry on from night %d
[E] next night,[E] next night
[E] open up,[E] open up
[E] or [ESC] step away from the terminal,[E] or [ESC] step away from the terminal
[E] wait for them,[E] wait for them
[R] start again from the first night,[R] start again from the first night
[TAB] or [ESC] put it down,[TAB] or [ESC] put it down
[color=#41854f]No documentary anomalies.[/color],[color=#41854f]No documentary anomalies.[/color]
[color=#f55c57]Note: a file with this many discrepancies is more often a constructed identity than a badly kept one.[/color],[color=#f55c57]Note: a file with this many discrepancies is more often a constructed identity than a badly kept one.[/color]
[color=#f5c252]%d anomaly in the record:[/color],[color=#f5c252]%d anomaly in the record:[/color]
"[i]""%s""[/i]","[i]""%s""[/i]"
[x],[x]
back: %d  shelf: %d,back: %d  shelf: %d
black,black
brother,brother
brown,brown
damage %d · %s,damage %d · %s
dark blue,dark blue
daughter,daughter
father,father
firearm,firearm
for the nights it goes badly,for the nights it goes badly
green,green
grey,grey
have: %d,have: %d
melee,melee
mother,mother
no file pulled,no file pulled
not swept,not swept
partner,partner
press a key…,press a key…
red,red
rent %d   ·   tonight %d,rent %d   ·   tonight %d
rent 110,rent 110
scanner,scanner
sells for %d each · %d margin on the case,sells for %d each · %d margin on the case
sister,sister
son,son
the other thing,the other thing
under the counter: %d,under the counter: %d
white,white
white Kolt panel van (%s),white Kolt panel van (%s)
yes,yes
"· Answer to ""%s"" contradicts the file.","· Answer to ""%s"" contradicts the file."
· on the evidence,· on the evidence
· page %d of %d,· page %d of %d
· they haven't asked,· they haven't asked
› %s,› %s
→ %s,→ %s
